Flat Type,Year of Month,Calculation1
1 ROOM,2022,
1 ROOM,2021,0.818181818
1 ROOM,2020,0.909090909
1 ROOM,2019,1
1 ROOM,2018,0.9
1 ROOM,2017,0.9
2 ROOM,2022,
2 ROOM,2021,0.8632287
2 ROOM,2020,0.867219917
2 ROOM,2019,0.917960089
2 ROOM,2018,0.770889488
2 ROOM,2017,0.66163142
3 ROOM,2022,
3 ROOM,2021,0.924745463
3 ROOM,2020,0.933102253
3 ROOM,2019,0.923378171
3 ROOM,2018,0.92400722
3 ROOM,2017,0.91051777
4 ROOM,2022,
4 ROOM,2021,0.932829618
4 ROOM,2020,0.940161778
4 ROOM,2019,0.932497979
4 ROOM,2018,0.932475542
4 ROOM,2017,0.935115748
5 ROOM,2022,
5 ROOM,2021,0.949969568
5 ROOM,2020,0.955147646
5 ROOM,2019,0.946459714
5 ROOM,2018,0.943269727
5 ROOM,2017,0.945021727
EXECUTIVE,2022,
EXECUTIVE,2021,
EXECUTIVE,2020,
EXECUTIVE,2018,0.958610118
EXECUTIVE,2017,0.955856386
MULTI-GENERATION,2022,
MULTI-GENERATION,2021,
MULTI-GENERATION,2020,
MULTI-GENERATION,2019,
MULTI-GENERATION,2018,
MULTI-GENERATION,2017,
